feature,importance
num__AIRLINE_DELAY_RATE,0.17008199
num__SCHED_DEP_HOUR,0.15544534
num__ORIGIN_DELAY_RATE,0.056184456
cat__AIRLINE_WN,0.047653604
cat__AIRLINE_AA,0.042623583
num__DEST_DELAY_RATE,0.042209778
cat__SEASON_Invierno,0.041282326
cat__AIRLINE_MQ,0.04029261
cat__AIRLINE_OO,0.040001083
num__MONTH,0.037090506
num__DAY_OF_WEEK,0.034229808
cat__AIRLINE_HA,0.032453697
cat__AIRLINE_DL,0.031522144
cat__AIRLINE_EV,0.029331237
cat__AIRLINE_UA,0.026970489
cat__AIRLINE_B6,0.024450399
cat__AIRLINE_US,0.024401793
cat__AIRLINE_F9,0.02298902
num__DISTANCE,0.022453917
cat__AIRLINE_AS,0.022380764
num__ROUTE_FREQUENCY,0.020506725
cat__AIRLINE_NK,0.017784256
cat__AIRLINE_VX,0.017660497
cat__SEASON_Primavera,0.0
num__IS_WEEKEND,0.0
